id,word,translation,example,exampleTr,level,cefrLevel,partOfSpeech,topic
auto,growth,büyüme,The company reported strong growth in sales after launching its new product line.,Şirket yeni ürün serisini piyasaya sürdükten sonra satışlarda güçlü bir büyüme bildirdi.,medium,B1,noun,business
auto,investment,yatırım,The government announced a large investment in renewable energy for the next decade.,Hükümet önümüzdeki on yıl için yenilenebilir enerjiye büyük bir yatırım yapılacağını duyurdu.,medium,B2,noun,business
auto,establish,kurmak,She worked hard for years to establish her own marketing agency.,Kendi pazarlama ajansını kurmak için yıllarca sıkı çalıştı.,medium,B2,verb,business
auto,international,uluslararası,The company expanded its operations to reach international markets in Europe and Asia.,Şirket Avrupa ve Asya'daki uluslararası pazarlara ulaşmak için faaliyetlerini genişletti.,medium,B2,adjective,business
auto,significant,önemli,The new strategy led to a significant increase in the company's annual revenue.,Yeni strateji şirketin yıllık gelirinde önemli bir artışa yol açtı.,medium,B2,adjective,business
auto,potential,potansiyel,The startup has great potential to become one of the leading companies in its sector.,Girişimin kendi sektöründeki önde gelen şirketlerden biri olacak büyük bir potansiyeli var.,medium,B2,adjective,business
auto,gain,elde etmek,The company aims to gain a competitive advantage by improving its customer service.,Şirket müşteri hizmetlerini iyileştirerek rekabet avantajı elde etmeyi hedefliyor.,medium,B1,verb,business
auto,profit,kâr,The company made a small profit in its first year despite high operating costs.,Şirket yüksek işletme maliyetlerine rağmen ilk yılında küçük bir kâr elde etti.,medium,B1,noun,business
auto,tomorrow,yarın,The company will announce its financial results tomorrow morning at a press conference.,Şirket yarın sabah bir basın toplantısında finansal sonuçlarını açıklayacak.,easy,A2,adverb,business
auto,identify,tanımlamak,The system uses facial recognition to identify users before granting access.,Sistem erişim vermeden önce kullanıcıları tanımlamak için yüz tanıma teknolojisi kullanır.,medium,B2,verb,technology
auto,separate,ayrı,Store your backup files in a separate folder to avoid accidental deletion.,Yedek dosyalarınızı yanlışlıkla silinmeyi önlemek için ayrı bir klasörde saklayın.,medium,B2,adjective,technology
auto,below,aşağıda,All system requirements are listed below in the setup guide.,Tüm sistem gereksinimleri kurulum kılavuzunda aşağıda listelenmiştir.,medium,B1,adverb,technology
auto,document,belge,The developer created a document explaining how to use the new API.,Geliştirici yeni API'nin nasıl kullanılacağını açıklayan bir belge hazırladı.,medium,B1,noun,technology
auto,unclear,belirsiz,The error message was unclear so the user contacted technical support for help.,Hata mesajı belirsiz olduğundan kullanıcı yardım için teknik destek ile iletişime geçti.,medium,B1,adjective,technology
auto,search,aramak,You can search for any file by typing keywords into the search bar.,Arama çubuğuna anahtar kelimeler yazarak herhangi bir dosyayı arayabilirsiniz.,medium,B1,verb,technology
auto,pattern,kalıp,The software detects unusual patterns in network traffic to prevent security threats.,Yazılım güvenlik tehditlerini önlemek için ağ trafiğindeki olağandışı kalıpları tespit eder.,medium,B2,noun,technology
auto,basic,temel,You only need basic computer skills to use this simple design application.,Bu basit tasarım uygulamasını kullanmak için yalnızca temel bilgisayar becerilerine ihtiyacınız var.,easy,A2,adjective,technology
auto,skill,beceri,Strong communication skills are essential for success in any professional field.,Güçlü iletişim becerileri herhangi bir profesyonel alanda başarı için çok önemlidir.,medium,B1,noun,education
auto,attend,katılmak,All students are required to attend at least eighty percent of the lectures.,Tüm öğrencilerin derslerin en az yüzde seksenine katılması zorunludur.,medium,B1,verb,education
auto,degree,diploma,She earned her degree in computer science after four years of study.,Dört yıllık öğrenimin ardından bilgisayar bilimi diplomasını aldı.,medium,B1,noun,education
auto,final,son,The final exam will cover all the topics discussed during the semester.,Final sınavı dönem boyunca ele alınan tüm konuları kapsayacak.,medium,B1,adjective,education
auto,various,çeşitli,The university offers various exchange programs in different countries for students.,Üniversite öğrenciler için farklı ülkelerde çeşitli değişim programları sunmaktadır.,medium,B1,adjective,education
auto,average,ortalama,The average student needs about two hours of daily study to keep up with the course.,Ortalama bir öğrencinin dersi takip edebilmek için günde yaklaşık iki saate ihtiyacı vardır.,medium,B1,adjective,education
auto,throughout,boyunca,She worked hard throughout the semester and finished with the highest grade in class.,Dönem boyunca sıkı çalıştı ve sınıftaki en yüksek notla bitirdi.,medium,B2,adverb,education
auto,exactly,tam olarak,Read the question exactly as it is written before choosing your answer in the exam.,Sınavda cevabınızı seçmeden önce soruyu yazıldığı gibi tam olarak okuyun.,medium,B2,adverb,education
auto,disease,hastalık,A balanced diet and regular exercise can help reduce the risk of heart disease.,Dengeli beslenme ve düzenli egzersiz kalp hastalığı riskini azaltmaya yardımcı olabilir.,medium,B1,noun,health
